Player,Pos,G,MP,TRB,AST,STL,BLK,TOV,PTS,FantasyPoints,PPM,FPPM,Suggested_FantasyPoints,Suggested_FantasyPoints_Rank
Andre Drummond,C,4.5,18,7,0.4,1,0.7,1.8,6.4,18.8,0.355555556,1.044444444,18.68208189,142
Gary Trent Jr.,SG,5.5,31.9,1.8,1,0.9,0.2,0.8,12.4,18.8,0.388714734,0.589341693,18.57820756,143
P.J. Tucker,PF,16,29.8,5.6,1.5,1,0.2,0.6,6.2,18.3,0.208053691,0.61409396,18.16145086,144
Joe Ingles,SF,7.7,26.3,2.6,3.4,0.6,0.1,0.9,8.7,18.1,0.330798479,0.688212928,18.14011168,145
Kentavious Caldwell-Pope,SG,15.3,30.6,2.7,1.3,1.1,0.3,0.6,9.2,18,0.300653595,0.588235294,17.98247671,146
Joe Harris,SF,6,27.7,5,0.9,0.4,0.1,1,9.8,17.6,0.353790614,0.635379061,17.6738204,147
Kevin Love,PF,20,18,5.6,1.2,0.5,0.4,0.5,6.9,17.6,0.383333333,0.977777778,17.60953185,148
Josh Richardson,SG,5.5,24.7,2.7,2,0.4,0.2,1.4,10.9,17.6,0.441295547,0.712550607,17.56094165,149
Marc Gasol,C,8,19,4.1,2.8,0.6,0.7,1.2,5.6,17.6,0.294736842,0.926315789,17.42502033,150
Daniel Theis,C,16.5,20.4,5.2,1.1,0.4,0.8,0.8,6.6,17.3,0.323529412,0.848039216,17.28820819,151
Maxi Kleber,PF,10.3,28.6,4.9,1.3,0.3,0.7,0.5,6.9,17.2,0.241258741,0.601398601,17.25568252,152
Pat Connaughton,SF,12.2,22.3,4.4,1.2,0.5,0.3,0.5,8.1,16.9,0.3632287,0.757847534,17.08668327,153
Caleb Martin,SF,20,21.2,3.8,1,0.8,0.2,0.8,8.6,16.8,0.405660377,0.79245283,16.83861095,154
Hassan Whiteside,C,5.5,16,6.1,0.2,0.2,1.6,0.6,4.3,17,0.26875,1.0625,16.73906326,155
Derrick Rose,PG,3,19,2,3,0.2,0.1,0.8,9.7,16.7,0.510526316,0.878947368,16.73130376,156
Isaiah Hartenstein,C,11,20,4.6,1.3,0.8,1.4,0.5,3.1,16.7,0.155,0.835,16.6645406,157
Alex Caruso,SG,10.3,24.3,2.1,2.5,0.9,0.8,1,6.2,16.5,0.255144033,0.679012346,16.56663386,158
Jarred Vanderbilt,PF,10.5,19,5.2,0.8,1,0.6,0.8,5,16.1,0.263157895,0.847368421,16.42179359,159
Nicolas Batum,PF,12,23.8,3.8,1.6,0.8,0.4,0.4,6.2,16.9,0.260504202,0.710084034,16.36003873,160
Darius Bazley,PF,7,18,6.7,0.9,0,0.4,0.9,6.6,16.3,0.366666667,0.905555556,16.31296666,161
Gary Payton II,SG,12,16.4,3.4,1,1,0.6,0.7,6.6,16.1,0.402439024,0.981707317,16.25865989,162
De'Anthony Melton,SG,8.7,19.5,3.2,1.4,0.8,0.7,0.9,6.6,16.1,0.338461538,0.825641026,16.13421489,163
Kelly Olynyk,C,17,15.2,4.6,1.1,0.2,0.5,0.8,7.6,16.1,0.5,1.059210526,16.06815143,164
Tyus Jones,PG,7.7,17.1,2.6,3.1,0.9,0.1,0.8,5.6,15.4,0.32748538,0.900584795,15.56530211,165
Terrence Ross,SG,5.5,19.2,2.8,0.6,0.5,0.2,0.9,10,15.7,0.520833333,0.817708333,15.46748044,166
Serge Ibaka,C,6.3,11.8,3.8,0.7,0.2,0.9,0.6,7.1,15.6,0.601694915,1.322033898,15.42308015,167
Cameron Payne,PG,14,18,2,2.7,0.6,0.3,1.1,7.2,15.2,0.4,0.844444444,15.24316731,168
Mason Plumlee,C,12,14.5,5,1.6,0.3,0.4,0.6,5.3,15.1,0.365517241,1.04137931,15.20553664,169
Otto Porter Jr.,PF,19,19.5,3.4,1.8,0.9,0.3,0.6,5.4,15.2,0.276923077,0.779487179,15.15753301,170
Donte DiVincenzo,SG,8.7,19.3,4.2,2.2,0.8,0.3,1.4,4.9,15.2,0.25388601,0.787564767,15.13120601,171
Grayson Allen,SG,7.3,26.1,2.6,1.1,0.5,0.2,0.6,8.8,15,0.337164751,0.574712644,15.08899166,172
Brandon Clarke,PF,7,14.6,3.7,1,0.4,0.6,0.5,6.6,15.2,0.452054795,1.04109589,15.04837755,173
Gary Harris,SG,14,27.1,2,1.7,1.1,0.3,1.5,7.4,15,0.273062731,0.553505535,15.03050504,174
Saddiq Bey,SF,6,22.2,4,1,0.5,0,0.3,7.5,15,0.337837838,0.675675676,15.0166742,175
Trevor Ariza,SF,4,24,5.8,0.5,0.8,0.3,0.8,4.8,15,0.2,0.625,15.01358122,176
Delon Wright,SG,4.5,20.4,2.8,2.3,1,0.1,1.2,6.1,15.2,0.299019608,0.745098039,15.00416032,177
